score,avg_score,goal,avg_goals,path_length,optimal_length,normalized_score
-3181.768934361985,-5701.306066658878,1,81,8.817454390611111,5.490104391303253,0.6226405205054596
2872.833475849893,-5573.971618209568,0,80,5.437433584114036,4.5655419324973145,0
-7966.003426995761,-5570.966484598009,1,80,4.896181021595223,3.2489804583366384,0.6635744152445755
1672.884607535848,-5479.375555621568,0,79,2.2943645171577907,2.264641658197112,0
-6769.511855214881,-5451.534327515364,1,79,6.3554966950795135,3.7513449894157223,0.5902520557236777
-7901.082253964893,-5441.100977222224,1,79,5.4193671201891185,3.044883637766733,0.5618522551135965
-7594.602251544573,-5447.0667644667155,1,79,4.246204966302192,3.957243213593056,0.9319482325977358
-9314.11715266249,-5460.626347571991,1,79,1.9620600710356133,1.6801419402705307,0.8563152398202157
-7176.410830977617,-5471.457201282998,1,79,5.683008825636899,3.5117799357260213,0.6179437765227214
1100.919846533693,-5427.619255242612,0,78,0.5879824360617151,1.0885517076304312,0
-8652.174665191624,-5416.1151264241935,1,78,5.013434438866595,3.637276825510965,0.7255060118694316
2468.508241294305,-5299.833863249118,0,77,2.3948317892713273,3.405951837169871,0
-9773.555553758839,-5307.156012338659,1,77,1.6383998913991327,1.9810481940643867,1.2091359407822257
3727.994674171533,-5198.724692521694,0,76,1.8443353243738796,4.4031376614635365,0
-7310.888512482121,-5173.2994104125855,1,76,6.364436572721011,3.733224883188866,0.5865758642626847
-7209.958040878957,-5163.405562963198,1,76,7.08375386409827,4.861942171059233,0.6863510879027608
-9474.572907653623,-5218.625169101593,1,76,2.8274657125040217,2.2321570499301595,0.7894550374417616
-9117.379976667384,-5325.287627740099,1,77,3.9565476597323586,4.346962537306318,1.0986756412787326
-7372.103069949964,-5308.135367387232,1,77,6.463969940971519,4.529209248954022,0.7006853822518383
-5478.9864388698215,-5291.556855744636,1,77,8.850210253718451,3.936812682714763,0.44482702329706747
-4437.99902173173,-5261.315487226402,1,77,9.467824184928869,5.452498778798319,0.5758977640794967
-2404.585252372325,-5199.4044513296,1,77,10.49468526987736,5.795060022656338,0.552189977463141
-5894.303370810307,-5187.83278790351,1,77,7.223672144337536,3.9670309915586297,0.5491709635061843
-9074.58312785558,-5192.963079138032,1,77,4.146038029303019,2.4737316913594327,0.5966495420147621
-5215.860720898121,-5160.645803499423,1,77,9.393666387304496,4.825571022126425,0.5137047477700684
-6483.513063733381,-5143.683182001421,1,77,6.791082291924195,4.462650517326424,0.6571339184968071
2651.3778441544027,-5043.706777331139,0,76,5.822871629095416,4.724311120595946,0
-7617.925969816777,-5031.552575252475,1,76,5.691185889636103,3.324229201555209,0.5841013219421939
-2095.1756254376824,-4959.093463659989,1,76,9.622359914696348,5.347087858041023,0.5556940194966467
-7139.146790273706,-4954.416435560039,1,76,4.946573391497843,4.116523101769493,0.832196912077553
1127.198301056986,-4903.266863380748,0,75,0.09832997459876353,4.829247988961759,0
8101.908766755374,-4729.530906818069,0,74,5.361567574662285,6.050214017078764,0
2495.673116518501,-4715.438285205855,0,74,1.4857005741428413,5.651759993657993,0
-9569.477286469279,-4715.3862302632215,1,74,1.599621380912724,1.6480181044740174,1.030255111702545
-7917.462416891611,-4702.598841088413,1,74,5.690842393631282,4.027004858800997,0.7076289554790142
-5421.463087216448,-4803.551924297423,1,75,8.59993360336541,5.4918113410362865,0.6385876443147396
